frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,[753.6766357421875 1363.3309326171875 1453.476806640625 1986.9522705078125],car,[952.5260009765625 1774.4132080078125 1217.7806396484375 1843.0931396484375],0.6289101243019104,NI?NRU,0.20351008736338425
1,1,[751.8003540039062 1366.8896484375 1452.1429443359375 1992.1405029296875],car,[948.09375 1777.798828125 1222.88720703125 1850.96923828125],0.6935828328132629,NM13NRU,0.06439385338157247
2,2,[2173.6923828125 1177.6412353515625 2817.27587890625 1741.91552734375],car,[2422.187744140625 1582.606201171875 2577.907958984375 1636.1912841796875],0.5173383951187134,MITSV,0.03314468947682693
2,1,[745.2156982421875 1374.327880859375 1446.422607421875 2003.329833984375],car,[930.7366333007812 1788.10400390625 1209.95654296875 1855.937255859375],0.5161710977554321,MA13NRU,0.07949185833596988
3,2,[2173.43017578125 1178.7100830078125 2821.227294921875 1750.5885009765625],car,[2416.54541015625 1584.80859375 2579.39501953125 1637.568603515625],0.7453692555427551,MEIAW,0.04220295142075318
3,1,[737.792236328125 1384.4686279296875 1447.48583984375 2012.751708984375],car,[952.945556640625 1795.2249755859375 1227.7908935546875 1869.0377197265625],0.6092879176139832,NA13NFU,0.16283999769640164
4,2,[2173.03564453125 1182.6046142578125 2821.79345703125 1752.921875],car,[2421.6796875 1588.5069580078125 2581.17919921875 1639.8687744140625],0.5076688528060913,MLSIAV,0.09452164473089669
4,1,[737.3108520507812 1385.5557861328125 1445.7205810546875 2017.0042724609375],car,[950.9453125 1805.129150390625 1222.6654052734375 1872.648193359375],0.4397352635860443,NA13NRU,0.4889346990190214
5,2,[2173.457763671875 1188.3759765625 2822.780517578125 1758.6322021484375],car,[2418.1611328125 1595.977783203125 2587.5703125 1652.2918701171875],0.595689058303833,MSU,0.31483442487043495
6,2,[2174.460693359375 1194.0299072265625 2827.587890625 1765.769287109375],car,[2414.7626953125 1601.93701171875 2591.682861328125 1661.782470703125],0.7737520933151245,MVEINSV,0.09036249249145838
6,1,[728.6569213867188 1394.528564453125 1441.346923828125 2037.6015625],car,[925.3494873046875 1819.8197021484375 1195.600341796875 1884.5211181640625],0.2909145653247833,NA13NRU,0.4073412502275008
7,2,[2174.93408203125 1196.720703125 2830.005859375 1770.3260498046875],car,[2419.293701171875 1604.077880859375 2587.481201171875 1662.535400390625],0.7574484348297119,MW:SV,0.11404044917389829
7,1,[723.6103515625 1396.1114501953125 1440.4700927734375 2045.83642578125],car,[921.7994384765625 1824.361083984375 1180.048828125 1889.306396484375],0.6820831894874573,NATJNRU,0.4391775832338495
8,2,[2174.806396484375 1201.9664306640625 2833.097900390625 1778.9959716796875],car,[2414.937255859375 1611.6243896484375 2589.072021484375 1667.8223876953125],0.7561145424842834,MVSSV,0.1172662777462861
8,1,[716.9288330078125 1404.53564453125 1437.4298095703125 2055.93701171875],car,[923.7067260742188 1838.841796875 1213.0784912109375 1907.505615234375],0.567162036895752,NA13NRU,0.13029573264883193
9,2,[2175.132568359375 1204.01171875 2838.56201171875 1784.9825439453125],car,[2419.15185546875 1618.9105224609375 2591.815185546875 1676.2869873046875],0.42895692586898804,MV51MSU,0.0629556646667568
9,1,[711.5040893554688 1414.89453125 1434.9031982421875 2067.069091796875],car,[922.9263305664062 1843.88720703125 1202.130859375 1915.0233154296875],0.2792332172393799,NA13NRV,0.14276176377048952
10,1,[709.387939453125 1421.6102294921875 1432.52783203125 2072.738037109375],car,[923.8240356445312 1846.4783935546875 1197.658203125 1919.3492431640625],0.6038432121276855,NA13NRV,0.2684785425690366
10,2,[2174.21826171875 1204.177490234375 2837.581298828125 1788.2415771484375],car,[2421.249755859375 1625.8077392578125 2596.03369140625 1681.3546142578125],0.4314457178115845,MU51VSU,0.2044673604668721
11,2,[2174.9638671875 1208.20166015625 2841.64453125 1796.719970703125],car,[2422.057861328125 1630.1082763671875 2597.225341796875 1684.4656982421875],0.6783083081245422,MV51VSV,0.1289837891010262
11,1,[703.6466064453125 1430.7933349609375 1428.797119140625 2081.830810546875],car,[929.15625 1860.993896484375 1210.2454833984375 1927.900634765625],0.43364474177360535,MA13NRU,0.5095220874268264
12,2,[2174.603759765625 1213.3468017578125 2842.247314453125 1804.1951904296875],car,[2428.80810546875 1635.460693359375 2595.05126953125 1688.8677978515625],0.6112626791000366,MVSISV,0.17838565979971094
12,1,[698.7565307617188 1436.453125 1426.5908203125 2088.9599609375],car,[917.0890502929688 1870.3897705078125 1186.5924072265625 1935.4991455078125],0.5796781182289124,MI}NRU,0.2140757289018502
13,2,[2174.327880859375 1216.0433349609375 2843.42919921875 1808.73583984375],car,[2425.972412109375 1640.5927734375 2596.4384765625 1694.68505859375],0.7311767935752869,MV51VSV,0.07954793895851392
13,1,[696.6587524414062 1441.0599365234375 1425.679443359375 2094.9345703125],car,[892.7847290039062 1878.0135498046875 1175.366943359375 1944.0208740234375],0.6343411803245544,MA13NRU,0.15001995638929122
14,2,[2174.2900390625 1219.8626708984375 2846.9501953125 1815.5169677734375],car,[2423.436279296875 1648.3692626953125 2596.84521484375 1704.1270751953125],0.8052733540534973,MV51VSV,0.1629433131132679
14,1,[691.541015625 1452.322509765625 1421.3397216796875 2105.48486328125],car,[930.9844360351562 1890.895751953125 1185.772216796875 1954.0751953125],0.37767481803894043,NA13NRU,0.10675787632131545
15,2,[2175.45947265625 1225.47265625 2846.772705078125 1822.55029296875],car,[2423.599853515625 1651.73876953125 2593.127685546875 1709.0654296875],0.8201615810394287,MTIVGU,0.03310320770646477
15,1,[686.2587280273438 1459.403564453125 1418.2523193359375 2114.20068359375],car,[889.193115234375 1892.0771484375 1180.0760498046875 1965.510498046875],0.7017045021057129,NM3NRU,0.4405816675570466
16,2,[2176.190673828125 1229.02880859375 2848.590087890625 1826.1043701171875],car,[2419.88671875 1655.545166015625 2598.24072265625 1714.450927734375],0.8072635531425476,HEIGV,0.11241136376935294
16,1,[683.4982299804688 1465.167236328125 1416.5970458984375 2121.468505859375],car,[880.649658203125 1898.3851318359375 1173.515869140625 1970.18408203125],0.5531582832336426,MA13NRU,0.11196709206491656
17,2,[2176.849853515625 1236.2137451171875 2851.173095703125 1833.55078125],car,[2423.0283203125 1666.6358642578125 2600.51904296875 1719.5914306640625],0.7260858416557312,MDEISU,0.0667749108436576
18,2,[2177.2978515625 1242.2059326171875 2855.30419921875 1843.1353759765625],car,[2428.443603515625 1677.54345703125 2602.305908203125 1731.68994140625],0.6926109194755554,MWVSV,0.1339002967809172
18,1,[669.6458740234375 1480.7705078125 1410.61474609375 2142.07080078125],car,[878.1063232421875 1913.356201171875 1180.290771484375 1988.81396484375],0.5998327136039734,NA13NRU,0.8405350639100602
19,2,[2177.044677734375 1242.7222900390625 2856.411865234375 1847.571533203125],car,[2431.25048828125 1679.45947265625 2604.029541015625 1733.5751953125],0.7888936400413513,MISLSV,0.05819693281480158
19,1,[667.583251953125 1484.8734130859375 1408.3214111328125 2145.226806640625],car,[880.008544921875 1918.740966796875 1181.39501953125 1993.76513671875],0.6832228302955627,NA13MRU,0.63353060587076
20,2,[2177.2138671875 1246.8492431640625 2858.05908203125 1856.2802734375],car,[2432.7509765625 1685.4876708984375 2609.259521484375 1741.9866943359375],0.7465199828147888,MSSV,0.12381388247013092
20,1,[663.1034545898438 1489.163330078125 1406.5330810546875 2148.93701171875],car,[887.316650390625 1935.721435546875 1174.6292724609375 2004.422607421875],0.719050943851471,NAJNRU,0.4450502332373502
21,2,[2177.17529296875 1249.565673828125 2861.59326171875 1865.3638916015625],car,[2435.530517578125 1693.2066650390625 2610.814697265625 1751.430908203125],0.757224440574646,MIIVSU,0.09422970279155554
21,1,[657.88671875 1500.1771240234375 1404.994140625 2153.466796875],car,[877.3616333007812 1943.8623046875 1173.2122802734375 2019.4775390625],0.5963849425315857,MA13NRU,0.3928579873820927
22,2,[2177.035400390625 1252.5535888671875 2862.993408203125 1870.4146728515625],car,[2433.854248046875 1696.6453857421875 2612.43994140625 1754.8406982421875],0.8036393523216248,MU51VSV,0.19027938925326518
22,1,[656.3335571289062 1501.93212890625 1405.153564453125 2152.8369140625],car,[861.3721313476562 1956.563232421875 1177.6610107421875 2025.760986328125],0.4508698284626007,NA13MRU,0.6199540648584071
23,2,[2177.88134765625 1256.18798828125 2868.53515625 1880.23583984375],car,[2434.813720703125 1701.599853515625 2617.88037109375 1764.103271484375],0.8425561785697937,MU51VSV,0.20539307881399166
23,1,[651.228515625 1513.8643798828125 1403.39697265625 2154.303955078125],car,[870.4765014648438 1961.832275390625 1180.732177734375 2031.7998046875],0.43387874960899353,NA13MRU,0.8307337359052758
